Ticker,Undervalue Score
CPRT,187.08939536700325
AC,167.84632727118642
ACTG,80.38843832909983
AMRK,70.7741619710145
CTRM,64.37787181128317
DAC,61.066026901890325
BDL,59.90302527205865
BZH,49.9190045074285
BDMD,45.518125964241705
CSAN,44.659153713972245
CCG,43.4826670219735
ACU,42.92139977376158
AMBI,41.490586356405515
AWX,35.03827055775842
CNXN,34.348107998777834
ABLV,33.372161370350824
BCC,33.085250245457075
CIVI,26.48937467292668
CE,25.399191513745713
ADM,22.912069925960704
ALG,22.068328286619366
CTSH,21.70320524097476
CVE,18.135058957438677
AMCX,17.56865999998524
BWA,17.26429615085228
CVS,16.792974891735117
AMKR,14.846762292233745
ARCB,14.128776092425813
CNDT,12.191609449553829
AMN,11.874524146791146
ASH,9.125643886372334
ABG,8.710330077078526
ADUS,7.967990509251077
AEO,1.8860006540434238
CENTA,-3.945388502299364
CVEO,-10.94550984698985
CNH,-12.917656216358198
CRI,-14.505730586786964
CVU,-17.99630457581432
AVAV,-18.122772506863917
CSPI,-18.36035111192935
ARTNA,-19.016091414613356
AMRC,-20.141986785781008
COO,-22.41957307436227
CTS,-24.28480985039335
AVO,-27.09534876571459
BERY,-27.345786765768143
BBCP,-30.3083312839879
APOG,-30.955346192616183
AEP,-34.17912754064231
CP,-36.81786340626455
BWMX,-43.06050868201405
COTY,-43.79338207444921
AVGO,-43.99936628707024
CHE,-52.892598240168944
CXT,-53.69592541336955
DAL,-55.00967561606635
ACI,-57.89331448076113
AKAM,-60.79519280807213
AME,-64.78974108447868
AIT,-66.50100307397395
ALKS,-68.25062251267784
BAX,-70.03388240176794
BBW,-76.00912116471571
BLD,-78.77835424046722
AVTR,-79.95705709503311
CVI,-81.40254500914965
CDRE,-83.63135092868792
CENX,-84.03292965190845
COCO,-84.58069359697191
CBZ,-86.5096630645346
AAON,-87.7715732278975
CACC,-95.98488718752277
CARR,-99.20019888953482
ACEL,-99.8953269694258
CBRE,-100.7161507222417
COLL,-104.99536628614206
CSWI,-109.89132637626572
CSX,-119.21108249330533
AEIS,-123.81154606347367
AZEK,-126.25374994530728
ACAD,-144.63595449999806
CRAI,-157.23209258259686
ACM,-164.8301314835944
BGC,-165.66528829094443
BSX,-165.70892193596492
AY,-168.66527393620007
CLMB,-206.89332998713863
ARQ,-212.6770892627152
APAM,-234.40863579841263
BJ,-237.56715983664444
AIRTP,-244.8379441215549
BWAY,-248.5222129931728
CHDN,-261.2151142968065
BP,-272.44356628010576
CON,-275.38783956109575
CDW,-287.7823276514829
BROS,-400.444736203361
CELH,-494.855173631332
BILL,-598.2308730227217
ABBV,-1804.232326559469
AAPL,-2229.099501934839
CLX,-11868.637460761282
AM,
CKX,247.7249061919609
AIFU,64.67040178337312
APWC,62.61937901001771
BH,62.331144996649336
CMT,57.05367923186986
CHRD,54.167552833995515
CIG,44.97486626934908
BTU,43.465063158828634
CCU,31.660955885909804
AVNS,29.160650118742083
ALK,
BTCS,269.3423370817869
AXR,250.46157971487477
CODA,158.5532854024645
BOSC,
ANET,221.9780004362769
CPRX,108.5542630635272
CWCO,78.45352376129888
