Ticker,Undervalue Score
QXO,3373.094847608144
NVEC,1926.3138632524701
KRYS,628.3984096975518
PTGX,606.2346363331117
ONTO,189.52543900953154
OAKU,146.90893160731105
NSSC,117.46665203661908
ORIS,107.82299234170756
LMAT,104.14308490523365
MLI,102.99106437957147
MPWR,102.82537638899214
LQR,102.56579347354094
MARA,95.84333648320782
OLED,90.63202844723952
MXC,86.21990022516923
NISN,76.94981901928293
MHUA,73.79165199207242
NXE,73.09548036573769
QSG,72.77423779805646
NXTT,71.45448979081847
LGND,67.09060351581482
LEGH,65.65866882744764
MTH,61.80309482848808
OSUR,59.75707221363879
PAY,57.378570792791805
PXS,55.31662915931089
LRE,55.01920592878763
LYT,54.64347336325678
KSS,52.713222740280315
KT,52.616620068207546
MED,49.430899570385435
NOAH,49.25915535188158
PAVS,47.93497243668643
PSHG,47.27103760667425
PERI,47.02534735752914
MHO,46.42137193669847
PCYO,45.27326074195862
LEN,44.044866679733644
MWG,40.2352165112265
LSEA,39.62855127053964
PDD,39.45036458028614
NPK,35.98510340170539
NUE,35.452437822718366
LGIH,34.1058888992249
OBE,33.803388462322246
NOV,33.08804643398581
NTIC,32.57420997174859
LPG,32.08776783261722
OFLX,30.957229013046582
MOV,29.781600794122774
LX,29.625996305204882
MNDO,29.046446153729654
MUR,28.827977593393445
NE,28.78885336702638
MHK,28.56859916818426
MGPI,28.296384041674745
OVV,27.731228354873387
MOS,27.37527109369699
NL,26.44912597611693
KODK,22.44260447146243
PANL,21.023191862514086
RAVE,20.145133290439897
KOP,19.587284810778687
OPY,19.442755150021444
LEA,18.748093040379654
PVH,17.75031572149587
MGA,17.41140180951947
NX,17.113666694550762
KMT,14.480743503617099
MTX,14.145435392764071
OSK,13.632732598984736
LOMA,13.374891737659286
KRO,13.272083513134511
MNSO,12.628644796286698
LAD,10.033663506400053
NCSM,9.041971232255328
NWE,8.657670814635814
MTDR,7.9434768271651635
NVEE,6.418936506742357
NHC,6.2998816557371775
LYB,6.192207132179995
NTR,6.117614903273289
NATR,6.0388437671864414
NVGS,5.949265432126114
MEC,4.781755023326928
NOG,4.467808573688982
MLR,4.176106390489142
LOCO,4.0922548519111865
KOS,3.5331835333466093
NESR,2.853575389714893
NOMD,0.609068443564132
MNTK,-0.5873491345614656
NGS,-1.0523004575662978
PTLO,-2.097228432622131
MRC,-2.333188225201252
PAG,-2.72868658124838
MATX,-2.96540125372258
MIDD,-3.234913468901299
M,-3.3047287519650763
ODP,-3.4928211219699494
PSX,-3.697120543048016
MMS,-3.8277823370401003
LZB,-4.24086867120817
ONIT,-4.3920771734071105
KGEI,-5.008077887427264
MGY,-5.642308132759943
MTUS,-6.694106793662445
MTRN,-6.713478706446366
LNN,-6.865429223967679
LBRDA,-7.66614661321664
ORMP,-10.108256633066935
NOA,-10.36926721866539
MNTX,-10.569952611127746
KWR,-10.743310425026568
NTGR,-10.934256104752786
PSMT,-11.105738422889521
KMDA,-12.038507184834241
OTEX,-12.467413908188238
MYE,-13.331762803643961
NWN,-13.646373202321271
NR,-14.021020302772353
PBA,-15.874002383185243
OXY,-16.752440251832756
OLPX,-17.671105070849467
PGNY,-18.61354481319209
LSCC,-18.990983677503912
PCG,-19.50126493306482
NOK,-20.023259024036683
LXFR,-21.202386578214586
MPC,-22.19287907945749
METCB,-25.43633939557054
LYTS,-27.056653838746954
LFUS,-27.795723885966712
OPCH,-29.38342450489001
OLN,-29.54864021662726
NXST,-29.756122429045924
LRN,-33.75530429893301
NHTC,-34.67793448626559
NBIX,-35.06319843662433
LANC,-35.378056289436465
OEC,-35.7488569988377
PBH,-35.97452064446214
KMI,-36.28268373167405
MNST,-37.172733546404714
METC,-37.963042545070444
ODC,-37.987409204145266
LNT,-38.63354526636989
OSPN,-39.43493253216356
PED,-39.88688002175695
NVR,-40.790457188679326
NI,-41.316427122660684
NWSA,-41.55708714430935
NEU,-41.74492668676685
PCAR,-42.35896139515875
MAN,-43.40004354047325
MAT,-44.88664297177219
PFE,-45.19662113513482
LAUR,-45.20227782090483
LWAY,-45.5145587077465
PDCO,-47.48804098853755
LTH,-48.69895312235107
NSIT,-48.913319965186844
OMAB,-50.70055579896512
MSEX,-52.406138502302
PFGC,-53.276421408467144
ORA,-53.803845103158466
NWS,-54.31025861112083
PEG,-55.0599673114885
OII,-57.48941216459153
MRX,-58.83034503553621
R,-60.181542631876475
MTEN,-61.3677997649707
NVT,-61.44019429397015
KRT,-61.81136853252863
LOVE,-65.73907277104271
ODFL,-66.70646173723097
NYT,-68.19339230032412
OSIS,-73.23898257253082
MGM,-74.20399187987469
MGEE,-75.69905924169268
LDOS,-75.97303020440287
OLLI,-78.22714181109207
ODD,-80.24777857458108
MU,-81.353961211423
LSTR,-83.35028265893052
OXM,-84.91248785977665
PDEX,-85.17912789916713
MMSI,-91.45567508645476
OKE,-95.17058770591379
OSW,-95.44705402984468
MULN,-96.27081178989175
KVUE,-97.15268883005142
LMNR,-97.48397633769086
NSC,-97.64242438059374
KR,-98.10503340527201
PBYI,-98.93478422387389
LEVI,-100.76422385517392
OPFI,-101.42365956309814
KEYS,-109.08034266953321
LIVN,-109.20602417987457
MKC,-109.29025619085459
MKTX,-110.3398993350814
PYPL,-110.49688192936406
MYRG,-110.65074673928383
NOC,-113.31508986152312
NVO,-114.78071571794712
NFG,-118.35401613162857
MSA,-122.45957226667512
PACS,-127.40678034666092
PAHC,-130.06587357116223
MAMO,-130.11298604730138
MDXG,-131.9694494711767
NGVC,-132.9225704385107
MTZ,-135.42387457027857
PBPB,-140.71724019576592
KNX,-143.79687490422094
QCOM,-146.62977924491736
NGD,-150.31088516716028
NDAQ,-150.74390479240068
PRVA,-153.954158821991
PAYS,-158.8041669658181
PH,-164.8570436934873
LW,-165.170077692881
KLG,-167.60017340410502
KTOS,-172.47507033614016
QSR,-184.41592616711776
PG,-187.2815438583389
LECO,-187.61285782708157
LMB,-198.81894121899757
MMC,-200.40672423980462
LPRO,-200.96065356455603
NKE,-205.00303780242177
PAYO,-216.61643638276865
MASI,-221.53310719641564
LAZ,-221.93711244593186
OGN,-222.73777393888204
NGG,-223.09869114681308
NOVT,-224.07742564040913
MTSI,-231.73983150852305
PX,-240.03747209198042
LFVN,-242.2282906359766
MOD,-244.29234560666862
MMYT,-248.04519474645846
LULU,-253.20366150922533
KGS,-262.6578504220367
LPLA,-263.5078361419394
LNW,-272.00479905219896
LNG,-273.6747194518813
LRCX,-277.3816588646333
MORN,-295.0072324579337
KO,-296.16202416991507
MTN,-297.13369658472055
MEDP,-311.9115247445658
OWL,-316.0907580501362
NRC,-317.0898635144122
PEP,-328.20457693999316
ONON,-329.8600289324092
NRG,-341.6064353727163
NCLH,-359.0093227632795
NXU,-365.6027282138188
MUSA,-366.05969001081553
LVS,-369.2085052186306
ML,-434.2840923199238
MMM,-475.2736121760022
PEGA,-524.3626085761863
NFLX,-525.807659394695
MC,-606.3828470750616
RAMP,-698.9303660712513
MELI,-740.0444810770899
RACE,-779.4447478495241
LZ,-781.0112471367045
NSP,-809.937649959912
PANW,-843.2861365449033
MNTS,-880.0435758824265
KLC,-940.4875056354202
PAM,-1284.959042350664
LLY,-1740.513674459795
MSI,-2022.7346138880491
LTM,-1005869.1851084763
LGL,
LICN,94.4578556824535
PFIE,70.92540122448297
PAGS,54.67203149007549
PARR,52.179860312892416
NSYS,38.90977017461217
PDS,30.831210435408103
MPX,28.73250596466005
LBRT,27.530976427278965
MPTI,22.395990840060655
LI,21.139650932850394
LOPE,20.12880298501343
NAT,20.07897899740878
MRTN,17.11971204501807
MBC,16.99704087805461
MG,5.307948072986534
NWPX,3.6126661670197526
MRO,1.2942954029671716
OTTR,-6.4358486735898195
LBRDK,-8.392474518887482
OGS,-9.845932446420914
KHC,-11.661153013308043
MEOH,-13.492058402275777
ON,-15.655756371044404
OC,-19.1798126431054
LCII,-20.257628659874015
NAPA,-21.071096849632326
LGCY,-21.666063406178427
MSM,-22.49557469280144
KOF,-29.67613695610244
NMRK,-30.334269565704364
PFSI,-31.661506824543235
OGE,-32.877442774026534
LHX,-33.3550662991521
NJR,-38.732965387107896
MRAM,-39.53275642190863
NFE,-39.9319139596487
PSO,-49.7376516236849
PATK,-50.254070755453405
QGEN,-51.519678959294104
NEE,-52.92219555903886
MOH,-56.99453530644569
LINC,-57.89619457791587
LH,-60.10535023488776
KMX,-61.597238870018934
LPX,-62.27221466484367
NDSN,-67.52991102322756
NXT,-70.48905384999557
KFRC,-88.97325637447526
LNTH,-92.02608356640788
LOGI,-96.55799084786338
PAX,-99.48574613960689
NPO,-104.618535019825
MWA,-108.0021275551926
PAC,-118.17607034073612
LIN,-125.62473585539948
PSN,-130.10188450006282
NXPI,-132.14353593234327
MRK,-153.97004265054775
KPRX,-165.1193137762413
LQDT,-168.01679915605297
NVEI,-181.18993824264578
PGHL,-185.6595318574397
KKR,-212.73800681555906
PWR,-219.89841064208267
MKSI,-249.5232936658001
PEN,-251.58908708966382
OTRK,-343.33265553347934
KTB,-395.31677791593853
MAMA,-461.1453676669304
LMT,-482.9480684536468
LII,-964.6915631563202
