('IBN', 0.007900001)
('RCL', 0.007900001)
('TECK', 0.007900001)
('ITIC', 0.008)
('SHW', 0.008)
('ACM', 0.0081)
('BGC', 0.0081)
('EDR', 0.0081)
('MSFT', 0.0081)
('NPO', 0.0081)
('V', 0.0081)
('ALCO', 0.0082)
('GHC', 0.0082)
('KOP', 0.0082)
('NMRK', 0.0082)
('URI', 0.0082)
('CHH', 0.0083)
('J', 0.0083)
('RRX', 0.0083)
('FTAI', 0.0084)
('PNFP', 0.0084)
('AJG', 0.0086)
('CSPI', 0.0086)
('CVLG', 0.0086)
('HL', 0.0086)
('MSI', 0.0086)
('SLP', 0.0086)
('WHD', 0.0086)
('AMAT', 0.0087)
('ASO', 0.0087)
('COR', 0.0087)
('ESLT', 0.0087)
('KLAC', 0.0087)
('LDOS', 0.0087)
('MKSI', 0.0087)
('MXC', 0.0087)
('RMD', 0.0087)
('SYK', 0.0087)
('AWI', 0.0088)
('AZZ', 0.0088)
('BBSI', 0.0088)
('CMCO', 0.0088)
('COKE', 0.0088)
('WCC', 0.0088)
('KBR', 0.0089)
('MATX', 0.0089)
('OLED', 0.0089)
('TT', 0.0089)
('UI', 0.0089)
('WTS', 0.0089)
('ZBH', 0.0089)
('ESQ', 0.009)
('TSE', 0.009)
('CEIX', 0.0091)
('FDS', 0.0091)
('ITT', 0.0091)
('OSW', 0.0091)
('GL', 0.0092)
('NYT', 0.0092)
('OR', 0.0092)
('PARAA', 0.0092)
('PIPR', 0.0092)
('SYT', 0.0092)
('ALSN', 0.0093)
('BUR', 0.0093)
('ECL', 0.0093)
('PNR', 0.0093)
('BCO', 0.0094)
('DIS', 0.0094)
('GM', 0.0094)
('ORCL', 0.0094)
('VBFC', 0.0094)
('WINA', 0.0094)
('CAL', 0.0095)
('CSL', 0.0095)
('DHI', 0.0095)
('GFF', 0.0095)
('JBHT', 0.0095)
('SAND          ', 0.0095)
('WPM', 0.0095)
('ZTS', 0.0095)
('GPN', 0.0095999995)
('VHI', 0.0095999995)
('ABCB', 0.0097)
('APH', 0.0097)
('MAR', 0.0097)
('ULS', 0.0097)
('WMPN', 0.0097)
('ZWS', 0.0097)
('MLI', 0.0098)
('NNI', 0.0098)
('SMBK', 0.0098)
('ULH', 0.0098)
('AA', 0.0099)
('AMR', 0.0099)
('ARMK', 0.0099)
('AZPN', 0.0099)
('BYD', 0.0099)
('CDRE', 0.0099)
('EE', 0.0099)
('ENS', 0.0099)
('HIFS', 0.0099)
('MBIN', 0.0099)
('ASML', 0.01)
('JBSS', 0.01)
('IMKTA', 0.0101)
('STE', 0.0101)
('WMT', 0.0101)
('HXL', 0.010199999)
('NVT', 0.010199999)
('SAIC', 0.010199999)
('SAP', 0.010199999)
('AXP', 0.010299999)
('DAL', 0.010299999)
