Ticker,Sharpe Ratio
SGML,1.9217062351237624
BHRB,1.788339074248328
CELH,1.5944604387595538
HDSN,1.4887859809065047
ENPH,1.4776702477330355
SCWO,1.4404188223884222
AR,1.4072136815523582
AMRK,1.378884102233223
SAVA,1.371275419583745
PMTS,1.3565784062969135
CALX,1.3508014388080285
APCX,1.342188519692697
CLDX,1.3320447518722798
AMLI,1.319908084768488
FRHC,1.3048409136947112
OBE,1.3044635819261778
PBT,1.2922537781452121
LWLG,1.2909912419398037
TSLA,1.2823490587001383
CLFD,1.274444273324726
EP,1.2702678051006517
HPKEW,1.256483287426636
GME,1.2504871360548335
MRNA,1.245819527998697
LAAC,1.2353952506854353
LLY,1.2346539324383368
ABAT,1.2327528428498526
ALB,1.2030874860759735
AEHR,1.1941704890597749
EU,1.174098246649537
GSM,1.1704198778713562
BNTX,1.163750305690918
RELL,1.1591799575194812
FNGR,1.1564677973533473
SLI,1.155790178939676
BRTX,1.1498065104323885
SJT,1.1481749537855144
RRC,1.1426752846717592
SQM,1.1395999052598427
PRPH,1.1333165788385722
BCRX,1.1300997450745858
MARA,1.124413895584639
ALTM,1.122126572861284
TPL,1.122019417261097
PWR,1.1216670772934512
DQ,1.10193736774325
FTLF,1.0944392656589796
BLNK,1.093758780934374
ALTO,1.0795020990932493
DAC,1.0719144420232196
AIFF,1.07093122167998
FLNG,1.068146706948651
UNFI,1.0669719171634786
KNSL,1.0664221410690269
BBW,1.0599230306270313
FCEL,1.0481965736529648
CAR,1.0472058905285129
UTHR,1.0462260769629643
XPEL,1.0451139014584796
AMTX,1.040616207204427
ESEA,1.0386245417040139
CYTK,1.0326853270961875
AVXL,1.0266689049336737
HALO,1.023399658629155
MTDR,1.0204239732665266
PLUG,1.0194795691196719
VXRT,1.0182248612265659
MCK,1.0180515016642386
PERI,1.013750994673934
NVAX,1.0076722803338445
KFS,1.0040723383317582
DDS,1.0029257499381075
AVNW,1.0011276628565982
PRTA,0.9993866252127733
ALT,0.9973262989701464
MCVT,0.9968555332607572
SM,0.9964081728695202
LEU,0.9952201696613594
NIO,0.9951411372972965
ZTEK,0.9951207005548645
SMCI,0.9927937224055603
CEIX,0.9895600210375626
SPLP,0.9883628539301147
RCMT,0.9882874503745939
NSYS,0.9865110542913086
IDT,0.9864012624773846
BGI,0.9857063985554445
HOVNP,0.9854260653425199
CLMT,0.9781222937587291
MVIS,0.9769567807921516
IPWR,0.9762268022547211
HIVE,0.9761957435067109
DAR,0.97486017823612
EQT,0.9726127638117754
TFII,0.9716979039946653
BXC,0.9714466358298717
BRN,0.9680716128470614
RICK,0.9635418729469172
UUU,0.9629847730344133
TWI,0.960491401632555
ELVA,0.9563501313477039
BTE,0.956209209624667
DFIN,0.9525979626893001
MUSA,0.9522352522170436
IBRX,0.9507044692257507
ARES,0.9502663549716058
TUSK,0.9487459368078236
BGFV,0.9486562388567125
BJ,0.9471343350766689
UMC,0.9469976291623105
AMRC,0.9453165945928963
QRHC,0.9439076453512265
GSAT,0.9376606301082825
KEN,0.9363157173906942
DXLG,0.9340771275627779
STLD,0.9335314131626865
ADM,0.9320273129763316
PDS,0.9319202023279299
SIM,0.9302041883499943
CTVA,0.9291914144611113
COOP,0.9291602475671978
MHLD,0.9280986036856541
EXLS,0.9276118279719556
INDV,0.9271538392412308
BYRN,0.9226981735208513
LINC,0.9211214170558101
SD,0.9208844194400397
RVYL,0.9197397915927696
UAN,0.9196016489427944
