Ticker,Sharpe Ratio
MHO,2.8546230520479927
FTAI,2.8524877692073214
ACIC,2.7758227671027744
BRBR,2.7744228843228633
PHM,2.508559876526778
META,2.443679299590634
GREEL,2.440517931739724
GE,2.4333805166569697
CLS,2.4312840296296945
HRTG,2.4284193659178523
ANF,2.395637021783197
SPOT,2.3615907933372866
IDCC,2.3575556004710676
FICO,2.3480188923045073
CWCO,2.3432069788729577
OLMA,2.3321858798769
MANH,2.3045686969755956
WINA,2.298016587459211
MYO,2.2938927195545378
NGL,2.253470946153748
SKYW,2.25035085639949
VRT,2.250347715834438
VNT,2.230773455543486
FSTR,2.2287959108770026
DUOL,2.217541638069328
NEU,2.2137513166211895
CAMT,2.197619774471314
EDU,2.1855717448159253
MAMA,2.1839918586934557
NVDA,2.178115675072613
CCJ,2.171537999242003
POWL,2.1701777512281364
GEOS,2.148076339801168
UBER,2.132383000627439
FMX,2.122140766781476
CRM,2.121099814677724
RACE,2.1121367531369315
TOL,2.1038268750187252
MPTI,2.0950635853648265
LMB,2.0914676618620915
AAOI,2.0911539914221215
BLDR,2.0906902199943773
XPO,2.081192308288528
WFRD,2.070018828339639
SSD,2.0518531778264757
FOR,2.0490222356490397
VRNS,2.047795104447816
DFH,2.044777965977492
BWAY,2.040650393197601
NPCE,2.0322291548002602
BLD,2.018546931393619
CNM,2.0155161602389633
USAP,2.0083447558177814
CSPI,2.003545533723608
TRAK,2.0006752861921915
GASS,1.998098793195394
CBOE,1.9757899240917431
SPOK,1.9754592267452127
NSIT,1.9699444408345497
LPG,1.9693990758868676
SYM,1.965505279429444
FEIM,1.9646302766765258
IESC,1.9621776983303583
DECK,1.9600698091228037
BBVA,1.9593198186264276
YHGJ,1.9332161694922652
DAKT,1.9319511332679338
MOD,1.9180114498021616
ADBE,1.9164914446979762
IOT,1.9142424568624086
TDG,1.9122933550783074
AVGO,1.9121184843533143
TLSIW,1.9116137646086766
KTOS,1.9109708247697963
FCO,1.9088398618492208
ACLX,1.9066636616251171
HCI,1.9000327340897205
MDB,1.8910822214097216
SHOT,1.8894189472174638
DKNG,1.885460062037484
SMCI,1.88139041293284
PLSE,1.880966774681971
GNE,1.8694747055582595
BCC,1.8684676537522504
CLSK,1.8684368472530035
CXM,1.8653493808353596
BRZE,1.863151504344939
MLTX,1.8618594030735738
FG,1.8597961525021223
RCL,1.8487394622153523
ELF,1.846502423801767
UGP,1.8416822904889691
ESCA,1.835748423585075
APP,1.8318914586589958
KBH,1.820910733263874
GIII,1.8203825291903488
CVNA,1.8170805351929051
VIST,1.809848206544321
STN,1.8089077341931834
ERJ,1.8081867259587654
NOW,1.8006150333812827
CRH,1.8002798436504233
OKUR,1.798400515879185
ESAB,1.7974547206737612
GRBK,1.7802635293475249
TALK,1.778645900307276
NRP,1.7771549394506903
CPRT,1.7739088711965771
IMMX,1.7729497453969278
NU,1.7696871485716612
RXST,1.7678568394379477
AVAH,1.7627578000585002
MSTR,1.7622918995852277
BLX,1.7582358538069747
CRWD,1.7577782385486522
STRL,1.7555873506455955
SNPS,1.755252521502343
ELTK,1.7533815543726505
AMPH,1.7514801450940425
DRS,1.7500225974321415
NATR,1.7462660412361135
COCO,1.7453090030895588
AKBA,1.74402615655988
LSEA,1.7403062460311036
CMPR,1.7362089073448277
BTBT,1.7338227051009396
LFMD,1.7333418692638416
DRCT,1.7314304841104569
APG,1.724063513152911
CNTM,1.7204588973976178
RELX,1.7196063107768447
GHM,1.7171126707049569
AROC,1.7152772518748338
ENIC,1.708388005877621
GGAL,1.7044818844064806
MDXG,1.6930269968301257
WEAV,1.6889916910155998
MTH,1.6856825923728085
MATH,1.6828412987410197
XBP,1.6776210952827237
SVRA,1.6764657122993745
AMR,1.6676561004598567
BWLP,1.6648552112571784
CDNS,1.6634439283252087
FDX,1.6625068117389135
LII,1.6580456266051768
ARLO,1.6572213327892058
PRI,1.6538342228664549
TPH,1.6527403830552985
CSWC,1.6519478663703018
PROP,1.6450553640112404
COIN,1.6401150132278237
IBP,1.6351832932624328
PLTR,1.6346718278351857
CABA,1.6299537471258756
RIOT,1.6298211126963296
FERG,1.6284400670682286
FNVT,1.6266533267464618
CLBT,1.626325447149046
LLY,1.6218764221033926
GWRE,1.6209359890907546
AQST,1.6204839347862616
SAP,1.6172118332099066
SAIA,1.6171677111376181
BKNG,1.6160336222081126
CASI,1.6159036203807975
AOMR,1.6121084977073499
LUXH,1.6074800066565007
SOWG,1.6011251890455098
DHI,1.597321619537025
TNET,1.595230095831398
ARBKL,1.5939021658754167
MELI,1.5836544388789784
WSM,1.5835852989085497
BWMX,1.5803403578140605
ARDX,1.5794825474228713
IONQ,1.5787849728527297
BMA,1.5711610456263407
WDAY,1.569423256049404
ALKT,1.5664423049630236
VST,1.56616122322142
VMCA,1.5610192049559677
IGIC,1.559887432559728
EVGR,1.559020923222388
LRN,1.5583160231353
OSCR,1.5555286734520462
BITF,1.5548988302595836
AFRM,1.5546011936892223
VKTX,1.5493481387289716
NVO,1.5487284867789386
CRS,1.5472097769701405
ONTO,1.5436395542091128
NR,1.5427902215218514
GPOR,1.540435216387261
CPS,1.5398341017123374
ODC,1.535546854403205
BRLS,1.5354404404172337
ARES,1.530787344565797
INZY,1.5304593656653347
AZEK,1.530398769708759
DHC,1.525350924538703
BBIO,1.5249639262120602
LEN,1.5224268834934602
EDN,1.5205960611440548
SPNT,1.518361804761489
GYRE,1.5181968330191444
MCAA,1.5163934541893491
QLYS,1.5151578224371054
ARCO,1.5140464118206198
HUBS,1.5131719067611817
