Ticker,Sharpe Ratio
BHRB,1.8596358645248257
ENPH,1.7371537689254117
TNDM,1.7121196677423094
SMLR,1.5862917300491206
APPS,1.5584488064018984
SE,1.5501311998324332
APCX,1.5024684844358613
GNRC,1.4779618312551903
AVGO,1.4755246486587892
JYNT,1.4665360558744664
SHOP,1.4578539041587246
MDB,1.4396599664342313
DXCM,1.4383095270583504
IIPR,1.433101457989008
FTNT,1.4249839219566192
ATLC,1.4173208765505836
LSCC,1.4161480552643453
CROX,1.4069714802035145
NOTV,1.3898040612231177
RVYL,1.3678192344546323
IVDA,1.361742254490351
ETSY,1.356798047559523
TSLA,1.3524073913210426
OPRX,1.348844188962863
LULU,1.3487190847921358
HUBS,1.3477421013569475
GLOB,1.3465297714233762
AMD,1.3463213728044763
KRNT,1.342157724014085
TEAM,1.342097094742846
RGEN,1.338548152746202
EPAM,1.3362003771508746
ARWR,1.3340760955312254
GMGI,1.3219543382396481
AMRC,1.317425033346392
TTD,1.299245504649044
CMG,1.2988956972921326
EP,1.2962518274539427
EU,1.2956116070582602
BX,1.2922456413038976
SPSC,1.2918173560100206
CALX,1.2834162413241215
SCWO,1.2814773389459677
CELH,1.2769838654905583
CVNA,1.2759161553322234
MSCI,1.272499587953858
OKTA,1.269644985525015
ARES,1.2601107850254076
TRNS,1.2592958957340987
FLGT,1.2569046503606476
CYRX,1.2382588182745513
POOL,1.236374517828077
TGT,1.2329213701076243
RPD,1.2305168631749885
ARGX,1.2301492771967406
ODFL,1.2296395365382837
CAMT,1.2269446469561514
TWLO,1.2258527108748307
WST,1.2248299413114028
PLUG,1.2232618283046945
WK,1.2212971534136592
COST,1.2201616969022464
TECH,1.2145689629114227
TTGT,1.2082624677115354
ASPN,1.204692946437943
MSFT,1.2022744280179654
WMS,1.2016882116101357
CCRD,1.2010143279048426
ACMR,1.199931568317592
RCAT,1.1974326305421668
KEN,1.1946185382518568
INFU,1.1944148806574537
MORN,1.1940822764228878
DECK,1.1932519190812387
FRPT,1.1907909315919194
NTRA,1.187808476517633
LEU,1.1834867548678978
BOOT,1.1751241021409604
ZBRA,1.1711423253906144
CPRT,1.1698464412650633
IDXX,1.1694523974017652
SAVA,1.1671779098561224
RILY,1.1643572559374729
AXON,1.1561877983612654
FATE,1.1544047641584043
DHR,1.149661308090482
NOW,1.1473667952687256
TRI,1.1458832963122434
AMLI,1.143049582395117
CWST,1.1409810954136803
AMTX,1.1374394609566887
RCM,1.1372804144958684
VCEL,1.133518510194899
SAIA,1.1307352246997224
GME,1.1304121121726431
NICE,1.1226077036137863
VEEV,1.120440733982939
MEDP,1.1204295599316347
FIVN,1.1201115765593652
PAYC,1.1190520512731117
PERI,1.117966012208624
RVP,1.114123349241351
XENE,1.1141177936961897
SEDG,1.109297181124197
ASML,1.1085544351704064
MGNI,1.1067761807086003
HEAR,1.1062245474863548
NDAQ,1.105984728015271
PCTY,1.1030670566590748
PW,1.1030073075466331
TSCO,1.1024901807783598
NVDA,1.0996328505427948
INTU,1.0992177065906363
KEYS,1.0988540796575024
SNPS,1.0983348146490144
IAC,1.0978587328846792
CDMO,1.097523062686462
INTZ,1.0956471234094403
SOWG,1.0956296731269546
DAR,1.0908447160102082
ASTH,1.0900035371606367
TMO,1.089588854451038
TFII,1.0879713664446826
VICR,1.0874679915405119
EXPO,1.087271065673714
SYNA,1.0845169585342387
RUN,1.0844928427101772
NVMI,1.084140789059589
SLNH,1.079694806388367
NITO,1.079169877996398
TTEK,1.0780718839238708
WING,1.077289408920331
STAA,1.0717451586318578
ABAT,1.0698474683440686
ZTS,1.062853959090356
KKR,1.0590596498627014
INVE,1.0553859961511902
RNG,1.0541672615000337
MELI,1.053978322057696
LRCX,1.0528637485206014
KNSL,1.051637409293402
UMC,1.0495777913291897
ENTG,1.0494821285068452
CDNS,1.0479492749940227
PAR,1.0478375214915305
AUDC,1.0439993229554019
DKS,1.0436061893905817
LLY,1.0415227630710857
CDNA,1.0409448454514045
BLFS,1.0392509767809204
AMRK,1.0382591297432264
PACB,1.0380937834849293
STKS,1.0371287484871528
LUNA,1.0368655617690805
VCYT,1.0340096292348717
RH,1.0334181198446537
BYRN,1.031487185423381
TYL,1.031140010568654
ATOM,1.0306821560088446
MARA,1.0300604821293724
INOD,1.0300195513580148
INFY,1.0268885283169553
MTCH,1.0265021154499712
SCNX,1.024697467096958
MASI,1.024487165895354
CRL,1.0228213728390108
AIFF,1.018077779394122
PODD,1.0170049464469768
CDXS,1.0162926863222164
HLI,1.0124541635602111
KNW,1.012395943579687
HCI,1.0070384911510064
ATRC,1.0062964758969681
SKE,1.0034933541758264
AAPL,1.0008463589122993
GOLF,1.0004312445760661
NEO,0.9989324062773086
MPWR,0.9963112801668106
SKY,0.9934864472215902
FCN,0.99304971411869
LWLG,0.9920945069320432
AZO,0.9875775248551365
DQ,0.9854864976767922
HROW,0.9822080031001136
SMTI,0.9808812091288064
NVCR,0.978924006385395
TREX,0.9785073071536194
MSTR,0.9781590982449935
EW,0.9775961712140677
