['A', 1.0, 131.22999572753906]
['AA', 3.0, 40.959999084472656]
['AACG', 164.0, 0.9700000286102295]
['AACT', 14.0, 10.880000114440918]
['AADI', 79.0, 1.9900000095367432]
['AAL', 11.0, 13.819999694824219]
['AAM', 15.0, 10.04]
['AAME', 93.0, 1.7000000476837158]
['AAOI', 10.0, 15.670000076293945]
['AAON', 1.0, 119.20999908447266]
['AAP', 4.0, 35.849998474121094]
['AAPL', 0.0, 233.6699981689453]
['AAT', 5.0, 27.34000015258789]
['AB', 4.0, 37.59000015258789]
['ABAT', 159.0, 1.0]
['ABBV', 0.0, 189.4499969482422]
['ABCB', 2.0, 62.290000915527344]
['ABCL', 56.0, 2.8299999237060547]
['ABEO', 24.0, 6.570000171661377]
['ABEV', 69.0, 2.2799999713897705]
['ABG', 0.0, 231.4199981689453]
['ABL', 18.0, 8.630000114440918]
['ABLLL', 5.0, 26.700000762939453]
['ABLV', 174.0, 0.9100000262260437]
['ABM', 2.0, 53.650001525878906]
['ABNB', 1.0, 137.77999877929688]
['ABOS', 54.0, 2.9049999713897705]
['ABR', 10.0, 15.119999885559082]
['ABSI', 38.0, 4.170000076293945]
['ABT', 1.0, 113.4000015258789]
['ABTS', 274.0, 0.5799999833106995]
['ABUS', 39.0, 4.039999961853027]
['ABVC', 226.0, 0.703000009059906]
['ABVE', 282.0, 0.564]
['ABVX', 15.0, 10.600000381469727]
['AC', 4.0, 35.880001068115234]
['ACA', 1.0, 94.29000091552734]
['ACAB', 13.0, 11.600000381469727]
['ACABU', 13.0, 11.699999809265137]
['ACAD', 10.0, 14.739999771118164]
['ACB', 26.0, 5.900000095367432]
['ACCD', 48.0, 3.299999952316284]
['ACCO', 32.0, 4.869999885559082]
['ACDC', 26.0, 5.960000038146973]
['ACEL', 13.0, 11.470000267028809]
['ACET', 112.0, 1.409999966621399]
['ACGL', 1.0, 104.80000305175781]
['ACGLN', 7.0, 20.280000686645508]
['ACGLO', 6.0, 23.559999465942383]
['ACHC', 3.0, 51.599998474121094]
['ACHL', 159.0, 0.9950000047683716]
['ACHR', 47.0, 3.359999895095825]
['ACHV', 33.0, 4.71999979019165]
['ACI', 8.0, 18.010000228881836]
['ACIC', 13.0, 11.789999961853027]
['ACIU', 52.0, 3.009999990463257]
['ACIW', 3.0, 49.88999938964844]
['ACLS', 1.0, 92.08999633789062]
['ACLX', 1.0, 87.25]
['ACM', 1.0, 108.45999908447266]
['ACMR', 7.0, 19.96500015258789]
['ACN', 0.0, 363.0400085449219]
['ACNB', 3.0, 41.52000045776367]
['ACNT', 17.0, 9.329999923706055]
['ACON', 799.0, 0.19900000095367432]
['ACP', 24.0, 6.46999979019165]
['ACR', 10.0, 14.869999885559082]
['ACRE', 24.0, 6.409999847412109]
['ACRS', 93.0, 1.7100000381469727]
['ACRV', 19.0, 8.270000457763672]
['ACST', 49.0, 3.240000009536743]
['ACT', 4.0, 34.459999084472656]
['ACTG', 33.0, 4.760000228881836]
['ACTU', 17.0, 8.94]
['ACU', 3.0, 40.2599983215332]
['ACV', 7.0, 20.889999389648438]
['ACVA', 8.0, 17.81999969482422]
['ACXP', 82.0, 1.940000057220459]
['ADAG', 51.0, 3.0999999046325684]
['ADAP', 225.0, 0.7049999833106995]
['ADBE', 0.0, 485.3900146484375]
['ADC', 2.0, 73.87999725341797]
['ADCT', 52.0, 3.009999990463257]
['ADD', 936.0, 0.17000000178813934]
['ADEA', 12.0, 12.75]
['ADGM', 56.0, 2.8]
['ADI', 0.0, 235.22999572753906]
['ADIL', 156.0, 1.0199999809265137]
['ADM', 2.0, 56.31999969482422]
['ADMA', 9.0, 16.709999084472656]
