['A', 1.0, 136.8699951171875]
['AA', 4.0, 40.56999969482422]
['AACG', 185.0, 1.0099999904632568]
['AADI', 94.0, 1.9900000095367432]
['AAL', 13.0, 13.539999961853027]
['AAME', 114.0, 1.6299999952316284]
['AAOI', 11.0, 16.84000015258789]
['AAON', 1.0, 113.47000122070312]
['AAP', 5.0, 36.25]
['AAPL', 0.0, 222.91000366210938]
['AAT', 7.0, 26.639999389648438]
['AB', 5.0, 37.43000030517578]
['ABAT', 188.0, 0.9929999709129333]
['ABBV', 0.0, 203.5500030517578]
['ABCB', 3.0, 62.099998474121094]
['ABCL', 68.0, 2.7300000190734863]
['ABEO', 29.0, 6.25]
['ABEV', 87.0, 2.1500000953674316]
['ABG', 0.0, 227.97999572753906]
['ABL', 21.0, 8.539999961853027]
['ABM', 3.0, 53.09000015258789]
['ABNB', 1.0, 136.4600067138672]
['ABOS', 65.0, 2.8450000286102295]
['ABR', 12.0, 14.84000015258789]
['ABSI', 47.0, 3.9200000762939453]
['ABT', 1.0, 118.5999984741211]
['ABTS', 340.0, 0.550000011920929]
['ABUS', 47.0, 3.9600000381469727]
['ABVC', 283.0, 0.6600000262260437]
['AC', 5.0, 36.0]
['ACA', 1.0, 93.69000244140625]
['ACAD', 12.0, 14.8100004196167]
['ACB', 33.0, 5.539999961853027]
['ACCD', 58.0, 3.200000047683716]
['ACCO', 35.0, 5.260000228881836]
['ACEL', 16.0, 11.020000457763672]
['ACET', 149.0, 1.25]
['ACGL', 1.0, 96.0199966430664]
['ACGLN', 9.0, 20.2549991607666]
['ACGLO', 7.0, 23.399999618530273]
['ACHC', 4.0, 42.02000045776367]
['ACHL', 183.0, 1.0199999809265137]
['ACHR', 57.0, 3.2799999713897705]
['ACHV', 39.0, 4.710000038146973]
['ACI', 10.0, 18.65999984741211]
['ACIC', 15.0, 12.300000190734863]
['ACIU', 62.0, 3.0]
['ACIW', 3.0, 49.4900016784668]
['ACLS', 2.0, 86.08999633789062]
['ACM', 1.0, 108.4000015258789]
['ACMR', 10.0, 18.549999237060547]
['ACN', 0.0, 345.6700134277344]
['ACNB', 4.0, 41.63999938964844]
['ACNT', 19.0, 9.399999618530273]
['ACP', 29.0, 6.440000057220459]
['ACR', 12.0, 15.390000343322754]
['ACRE', 29.0, 6.329999923706055]
['ACRS', 89.0, 2.0899999141693115]
['ACST', 60.0, 3.0999999046325684]
['ACT', 5.0, 32.380001068115234]
['ACTG', 40.0, 4.590000152587891]
['ACU', 4.0, 39.65999984741211]
['ACV', 9.0, 20.645000457763672]
['ACVA', 10.0, 17.040000915527344]
['ACXP', 100.0, 1.8600000143051147]
['ADAG', 62.0, 3.0]
['ADAP', 233.0, 0.800000011920929]
['ADBE', 0.0, 482.79998779296875]
['ADC', 2.0, 73.93000030517578]
['ADCT', 63.0, 2.950000047683716]
['ADD', 1169.0, 0.1599999964237213]
['ADEA', 15.0, 12.470000267028809]
['ADI', 0.0, 225.47999572753906]
['ADIL', 185.0, 1.0099999904632568]
['ADM', 3.0, 54.63999938964844]
['ADMA', 9.0, 19.3700008392334]
['ADN', 98.0, 1.899999976158142]
['ADNT', 9.0, 19.81999969482422]
['ADP', 0.0, 288.17999267578125]
['ADPT', 35.0, 5.309999942779541]
['ADSE', 13.0, 14.079999923706055]
['ADSK', 0.0, 286.57000732421875]
['ADT', 25.0, 7.25]
['ADTN', 30.0, 6.179999828338623]
['ADTX', 353.0, 0.5299999713897705]
['ADUS', 1.0, 126.2699966430664]
['ADV', 58.0, 3.2100000381469727]
['ADVM', 25.0, 7.409999847412109]
['ADX', 8.0, 21.729999542236328]
['ADXN', 17.0, 10.699999809265137]
['AE', 6.0, 26.90999984741211]
['AEAEU', 16.0, 11.300000190734863]
['AEE', 2.0, 85.87999725341797]
['AEF', 34.0, 5.360000133514404]
['AEFC', 8.0, 21.600000381469727]
['AEG', 29.0, 6.320000171661377]
['AEHL', 623.0, 0.30000001192092896]
['AEHR', 15.0, 12.069999694824219]
['AEI', 130.0, 1.4299999475479126]
['AEIS', 1.0, 109.56999969482422]
['AEM', 2.0, 85.80000305175781]
['AEMD', 492.0, 0.3799999952316284]
['AENT', 51.0, 3.6500000953674316]
['AEO', 9.0, 19.459999084472656]
['AEP', 1.0, 97.25]
['AER', 1.0, 94.30999755859375]
['AES', 12.0, 14.710000038146973]
['AEVA', 47.0, 3.940000057220459]
['AEYE', 8.0, 21.420000076293945]
['AFB', 16.0, 11.220000267028809]
['AFBI', 8.0, 21.3799991607666]
['AFCG', 19.0, 9.649999618530273]
['AFG', 1.0, 127.70999908447266]
['AFGB', 7.0, 24.650999069213867]
['AFGC', 8.0, 22.399999618530273]
['AFGD', 7.0, 24.350000381469727]
['AFGE', 9.0, 19.68000030517578]
['AFL', 1.0, 104.70999908447266]
['AFMD', 57.0, 3.259999990463257]
['AFRI', 18.0, 10.3100004196167]
['AFRM', 4.0, 43.220001220703125]
['AFYA', 10.0, 17.170000076293945]
['AG', 26.0, 7.179999828338623]
['AGAE', 155.0, 1.2000000476837158]
['AGCO', 1.0, 99.38999938964844]
['AGD', 18.0, 10.069999694824219]
['AGEN', 46.0, 4.050000190734863]
['AGFY', 60.0, 3.109999895095825]
['AGI', 9.0, 20.110000610351562]
['AGIO', 4.0, 44.869998931884766]
['AGL', 69.0, 2.700000047683716]
['AGM', 1.0, 184.36000061035156]
['AGMH', 104.0, 1.7899999618530273]
['AGNC', 20.0, 9.3100004196167]
['AGNCM', 7.0, 24.979999542236328]
['AGNCN', 7.0, 25.760000228881836]
['AGNCO', 7.0, 25.329999923706055]
['AGNCP', 7.0, 24.75]
['AGO', 2.0, 82.55999755859375]
['AGR', 5.0, 35.59000015258789]
['AGRI', 3899.0, 0.04800000041723251]
['AGRO', 16.0, 11.3100004196167]
['AGS', 16.0, 11.670000076293945]
['AGX', 1.0, 136.8800048828125]
['AGYS', 1.0, 102.38999938964844]
['AHCO', 17.0, 10.5]
['AHG', 183.0, 1.0199999809265137]
['AHH', 17.0, 10.75]
['AHT', 28.0, 6.650000095367432]
['AI', 7.0, 25.030000686645508]
['AIFF', 62.0, 3.009999990463257]
['AIFU', 159.0, 1.1699999570846558]
['AIG', 2.0, 75.72000122070312]
['AIHS', 210.0, 0.8899999856948853]
['AILE', 126.0, 1.4800000190734863]
['AIM', 719.0, 0.25999999046325684]
['AIMD', 411.0, 0.45500001311302185]
['AIN', 2.0, 69.52999877929688]
