period,tradeType,currency,price
<<<<<<< HEAD
1738774295.8962245,buy,solana,200.1208953857422
1738774297.6878552,buy,ethereum,2757.630126953125
1738774299.98292,buy,XRP,2.446725606918335
1738774320.9991453,buy,Bitcoin,97789.3359375
1738776691.9003637,sell,Bitcoin,97627.875
1738776692.029828,sell,solana,198.8019256591797
1738776692.2218902,sell,ethereum,2755.001708984375
1738776692.355681,sell,XRP,2.433319330215454
=======
>>>>>>> 93168d91259013c440fefb397e9e99a7ace4690f
